IP,ENEG,NDE,ZIF,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,RR,FLOWCELL,EC,CL,EPH,CD
0,0,0,1,0,0,0,18.72693727,0,53.44827586,33.33333333,1.04,488,700,2,0,0.1,4,7.2,0.52
0,0,0,0,1,0,0,7.218857423,0,19.2,22.1,0.54,456.6164371,1060,8.389331113,0,0.1,1.562001189,6.8,0.204075167
7.61,1.91,8,0,0,0,1.08,5.762991436,3.7,12.94,24.29,1.01,405.6,800,5,0,0.5,0.5,7.2,8.12465651
7.83,1.83,6,0,0,1,0.31,2.397640417,4,10.9375,9.375,1.14,667,1000,5,0,0.1,1,6.8,5.42
7.83,1.83,6,0,1,0,1.75,2.8,4.7,61,15,1.0072281,224,900,6.254611641,0,0.5,0.8,7.33,23.49139
7.61,1.91,8,0,1,0,0.087,2.5,4.2,13.56312691,44.24189549,0.96940754,588.393391,800,5.681356177,0,0.1,1,6.8,3.5755
7.61,1.91,8,0,0,1,3.28,7.326269792,4,54.35094773,31.66283745,0.98,261,900,3,0,0.1,0.1,6.8,3.16326
7.61,1.91,8,0,1,0,2.14,4.054771776,4,56.95692026,13.73052246,0.91,113.21,1000,10,0,0.5,0.610493815,7.2,24.87395959
7.83,1.83,6,0,0,0,1.54072305,3.683715873,8,35,6,1.15,692.6,950,10,0,0.5,1,7.2,6.5894
7.83,1.83,6,0,0,0,3.2,6.113147006,5,50.28,19.37,0.956250267,536.379432,500,20,0,0.1,0.2,6.8,3.08129
9.35,1.65,10,0,0,0,0.13,4.996471875,4,38.4,38.3,0.99,25.39,1000,1,0,0.5,4,7.3,10.44
7.83,1.83,6,0,0,1,0.26,3.209259081,5,8,18.18181818,1.25,897,1000,5,0,0.1,1,6.8,4.8
0,0,0,0,0,1,0,5.85,0,10.08547009,12.64957265,1.002761915,235.8,600,5.528275374,0,0.5,0.2,7.3,0.793176887
9.35,1.65,10,0,0,0,0.01,0.61,4,68.85245902,14.75409836,2.89,1292.4,1100,8.660369953,0,0.5,1,7.2,0.579539625
7.83,1.83,6,0,0,0,1.782184718,5.814259386,3,38.95363026,25.22727273,0.943377209,435.9137655,800,20,0,0.5,0.2,7.2,0.28051
7.61,1.91,8,0,0,0,1.25,1.46,3.4,41.7,34.2,1.02,228,1000,5,0,0.1,0.58,6.8,16.918
7.61,1.91,8,1,0,0,1.89,7.738822745,3.8,48.59098229,30.07246377,1.280831575,1202,1000,5,0,0.5,0.8,7.2,21.25581
7.83,1.83,6,1,0,0,0.66,7.15,3.3,53.98373984,14.14634146,1.251707369,1246,900,4.702675374,0,0.5,1,7.2,1.85812
0,0,0,0,1,0,0,8.67,0,9.2,5.9,0.74,418,900,8.830871153,0,0.1,5,6.8,6.81932
7.61,1.91,8,0,0,0,2.502516899,5.268708951,4,27.47252747,33.66633367,0.88,665.1,900,5,0,0.1,0.5,6.8,1.50239
0,0,0,0,0,0,0,5,0,37.2596312,13.93864977,0.89,85,800,3.844980394,0,0.5,0.649841032,7.3,6.856
7.61,1.91,8,0,1,0,23,18.7,3.8,68.48158175,23.80912967,0.951315319,306.128195,800,5,0,0.5,1,7.2,23.33961
7.61,1.91,8,0,0,0,1.65,4.682281347,4,35.53190938,8.768789286,1.009520503,334.9,900,5,0,0.5,0.25,7.2,18.05512
7.4,1.55,5,0,0,0,0.74,5.552526384,4,40.8,28.7,1.002118741,542,975,5.313578716,0,0.1,0.4,7.5,11.90175358
7.83,1.83,6,1,0,0,0.812143479,7.444648555,5,47.2,31.5,1.066881382,333,1050,7.225346739,0,0.1,0.8,6.7,0.40214
0,0,0,0,0,1,0,7.22,0,45,0,1.17,119,1000,2.873079387,0,0.1,0.8,6.8,1.33849
0,0,0,1,0,0,0,1.2,0,19.16666667,6.666666667,0.832,1188,1100,5,0,0.1,0.5,6.8,0.85605066
7.61,1.91,8,0,0,1,1.41,4.683251484,4,20.00724026,0,1.139204125,481.6750753,1000,3.786435761,0,0.5,0.295199083,7.2,28.07451
0,0,0,1,0,0,0,9.448780248,0,43.00237208,40.32531345,1.03086179,723,900,5,0,0.5,1,7.2,2.69023
7.83,1.83,6,0,0,0,2.896536118,4.469264713,4,46,6,3.32,1123.035709,800,5,0,0.5,0.931975985,7.2,0.893
0,0,0,0,0,0,0,1.0745,0,25.07758566,35.80024067,2.6,321,700,3.470521156,0,0.5,0.589,7.5,0.27946
7.69,1.9,10,0,0,0,1.19,7.050993443,4,50.16896598,22.47665696,1.068520983,340.5493228,700,5,0,0.1,0.5,6.8,0.35487
0,0,0,0,0,0,0,4.52,0,36.28318584,11.28318584,0.959,1511,900,5,0,0.1,0.5,6.8,2.39771
0,0,0,0,0,0,0,2.56,0,34.765625,14.453125,1.008,832,900,5,0,0.1,0.5,6.8,4.40563
0,0,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,1.11,1223,600,1,0,0.1,1.2,6.8,0.43184
7.61,1.91,8,1,0,0,32.8,13.66841813,12,46.79,27.52,1.01761982,422.9044867,1000,5,0,0.5,0.767233907,7,1.8897
0,0,0,0,0,1,0,5.586508603,0,31.87544991,51.73092854,0.930564458,802.5708495,800,10,0,0.5,1,7.2,0.4921
7.83,1.83,6,0,0,0,1.458713195,2.291780881,8,29.5,5.5,1.099537009,480.5,950,10,0,0.1,1,6.8,3.44562
7.83,1.83,6,1,0,0,1.78,4.72,4,49.17,15.13,0.94,461,800,5.333,0,0.5,0.3,7.2,3.01708
0,0,0,0,1,1,0,9.40005886,0,58.03723599,31.00554441,1.06153799,123.4,550,3,0,0.1,0.5,6.8,0.53758
0,0,0,0,0,0,0,2.74,0,25.19962667,13.87534999,1.02,1044,1000,3.975335503,0,0.5,1,7.3,1.3565
7.69,1.9,10,1,0,0,1.43,4.82,4,49.51,17.07,0.94,459,800,5.333,0,0.5,0.3,7.2,0.29805
7.61,1.91,8,0,1,0,4.04,5.727205076,4,48.90811356,16.67226608,1.025313305,598.6377937,1000,5,0,0.5,0.8,7.2,28.62955938
7.61,1.91,8,1,0,0,1.61,4.578502677,3.3,18.3,11.21,0.996642012,752.9473874,1000,10,0,0.1,0.569908296,6.8,1.189820315
7.61,1.91,8,0,1,0,5.298932328,3.587818764,4,45.18673,41.38251,1.413324214,981.8255821,800,2,0,0.5,0.882551619,7.2,1.345861
7.61,1.91,8,1,0,0,1.019820972,4.587595908,4.3,47.85214785,26.67332667,0.967502515,223,1050,6.741439037,0,0.1,0.8,6.7,0.51896
7.83,1.83,6,0,0,0,1.64,7.59719352,4,38.57,20.97,1.022,483.9650926,800,5,0,0.5,1,7.2,0.9719
7.81,1.88,7,1,0,0,0.7,8.589306268,3.7,53.95465995,0,1.02,638,900,3,1,1,0.32,8.8,159.46763
9.35,1.65,10,0,0,0,0.42,5.126426228,4,38.23823824,30.43043043,1.0354602,690,975,5.974074009,0,0.1,0.4,7.5,8.46616864
7.83,1.83,6,1,0,0,0.2,2.9,4,44.40184049,18.70398773,1.024,360.1,1000,3.538486409,0,1,1,8.8,1.8
7.81,1.88,7,0,0,0,0.35,3.773592546,4,20.39,19.1,1.062521486,559,1000,5.080985566,0,0.5,0.5,7.2,2.14865
7.4,1.55,5,0,0,0,0.44,8.2,4,38,43.9,1.7,938,900,2,0,0.1,0.76,6.8,2.45035
7.83,1.83,6,0,1,0,2.68,9.162448165,5,39.65578424,11.62171753,1.2,687.2452256,700,5,0,0.5,1,7.2,2.24
7.83,1.83,6,0,0,1,3.28,7.509832905,4,40.0455298,49.57057119,0.98,331.2623194,900,3,0,0.5,0.1,7.2,0.47399
7.83,1.83,6,0,0,0,0.71,10.6,3.8,40.14181,11.84868,1.28,279,900,2,0,1,1,8.8,21.01
9.35,1.65,10,0,0,0,1.013530268,4.230217647,5.09298,50.54347826,25.87587894,0.68,830.7241621,900,8.18327544,0,0.5,2,7.2,3.0387
0,0,0,0,1,0,0,9.28,0,26.5,47.2,0.5,248,800,10.31676119,0,0.1,2,6.8,3.74655
0,0,0,0,1,0,0,5.3,0,28.11320755,16.60377358,1.17,859.97,900,5,0,0.5,2.5,7.65,1.74290066
7.61,1.91,8,0,0,0,0.48,9.068144027,3,42.83164119,14.84993864,1.48,126,800,2.3,0,0.5,0.769501399,7.2,46.84003
0,0,0,0,1,0,0,0.98,0,79.6,20.4,0.744,543.6023474,300,5,0,0.5,0.3537,7.3,7.10349
0,0,0,1,0,0,0,11.07004857,0,37.94021294,35.32964783,1.05,515.7913819,800,5,0,0.1,0.8,6.8,19.97151
7.61,1.91,8,0,0,0,2.5,4.334964214,4,50.66666667,28.59259259,0.87,412.9515937,600,10,0,0.1,0.3,6.8,4.756667087
7.81,1.88,7,0,0,0,3.18,8.724496581,5,41.55130663,18.97100134,1.173577049,574.6732444,600,2,0,0.2,0.3,7,2.35
7.83,1.83,6,1,0,0,2.1,4.453251285,4,44.41299366,0,1.269969796,1361.252988,1000,5,1,1,1,8.8,7.62
7.83,1.83,6,1,0,0,1.47,10.15,4,70.14778325,15.27093596,0.94,705,900,3,0,0.1,2,6.8,4.61855
7.61,1.91,8,0,0,0,1.39,6.119044162,4,23.29980225,57.26936635,1.47,308,900,5.204262164,0,0.5,1,7.2,26.55887832
7.61,1.91,8,0,0,0,1.841854557,5.112734201,2.6,17.39077374,24.68879668,0.985543626,354,800,4.837964598,0,0.1,0.606935766,6.8,1.37632
0,0,0,0,0,0,0,7.494086279,0,27.11420385,50.1023332,0.911023129,174,900,30,0,0.1,0.75,6.8,0.42259
7.61,1.91,8,0,0,1,2.7,5.6,3,54.7,28.7,1.005647917,454.422902,800,5.676494715,0,0.5,0.425002936,7.3,2.69421
7.83,1.83,6,1,0,0,12,10.09200394,12,50.96570305,23.1400404,1.027239841,666.3124151,1050,5.149798604,0,0.5,1,7.2,0.118674423
7.61,1.91,8,0,0,1,0.41,6.19,4,42.85714286,22.36842105,1.1,691.4184748,900,5.294910496,0,0.5,1,7.2,2.657536404
0,0,0,1,0,0,0,4.509597686,0,31.59,16.87,1.18,1489.4,1100,5,0,0.1,1.5,6.8,2.31947
7.61,1.91,8,1,0,0,2,38.23361945,4,74.86590282,25.13409718,1.082188718,91.4,550,5,0,0.5,1,7.2,8.27
7.61,1.91,8,0,0,1,1.25,5.502364393,3.9,36.57,18.88,0.95,431.4483598,900,5,0,0.5,0.5,7.2,12.0293712
7.4,1.55,5,1,0,0,1.184569487,3.685327292,4,48.2,29.2,1.098105433,311,1050,5.609908958,0,0.1,0.8,6.7,0.12233
7.69,1.9,10,1,0,0,2.44,19.50980251,3,80.88,10.72,1.42,802.7,800,5,0,0.1,1.5,6.8,0.07
7.61,1.91,8,0,0,0,0.085,3.2,4,21.7,4.2,1.019350133,20,1000,5,0,0.5,0.3,7.2,1.58827
7.81,1.88,7,0,0,0,0.72,3.12,4,42.87573195,29.67902841,0.92,315.0358753,700,7.965496369,0,0.5,0.1,7.2,28.7433055
7.81,1.88,7,0,0,0,3.54,5.382165047,5,20.901,41.239,1.279560547,568,25,2,0,0.2,0.3,7,4.5
7.61,1.91,8,0,0,0,1.23,3.23,6,28.82242686,13.22961927,1.02,612,1000,3.524884611,0,0.5,0.081300813,7.3,4.00705
7.61,1.91,8,0,0,0,0.46,3.05,4.13,29.47316941,10.28352081,1.03,614,1000,3.69362502,0,0.5,0.217391304,7.3,14.33855
7.83,1.83,6,1,0,0,0.888072271,9.324758842,3.9,54.85955922,25.42427045,0.99,614,900,2,0,0.1,4,6.8,1.81
7.81,1.88,7,0,0,0,1.11,10.5,4,41.5,41.6,1.79,758,900,2,0,0.1,0.76,6.8,1.24394
7.83,1.83,6,1,0,0,1.3,4.52,4,53.09734513,23.67256637,0.99,1148,900,3,0,1,2,8.8,5.9074
0,0,0,0,0,0,0,4.066009513,0,25.5,18,1.065750053,819.8273613,900,5,0,0.5,1,7.2,0.574
0,0,0,1,0,0,0,1.63,0,18.35533,24.15624,1.143549843,652.8723751,1100,4.628676615,0,0.5,0.6,7.65,0.458552974
7.83,1.83,6,1,0,0,0.52,4.13,3,39.80582524,18.93203883,1.107275706,1275,1000,5.304048117,0,0.5,1,7.2,2.66035
7.83,1.83,6,0,0,0,0.931278099,4.046242775,3.8,49.5,36.9,0.948667068,199.25331,900,30,0,0.1,0.75,6.8,2.54707
7.61,1.91,8,0,0,1,3.28,7.673110024,4,54.35094773,31.66283745,0.98,261,900,3,0,1,0.1,8.8,6.293295
0,0,0,0,1,0,0,2.4,0,14.51544803,53.2304148,0.65,758.2584324,850,7.731552465,0,0.1,0.5,6.8,0.3312
0,0,0,0,0,0,0,7.554161916,0,44.4,29.8,0.89,655,900,5,0,0.1,1,6.8,0.12785
7.61,1.91,8,1,0,0,2.2,5.640727266,4,46.13248967,0,1.287948798,1135.309748,1000,5,1,1,1,8.8,7.62
7.61,1.91,8,0,1,0,2.28,7.679501339,4,61.3,17.9,1.014154853,390.0718363,650,5,0,0.5,0.5,7.3,16.03817
7.54,1.93,10,1,0,0,0.088,10.24527815,2,53.84,26.37,1.02,945.7,1000,4.627639628,0,0.1,0.797946442,6.8,1.84868
7.83,1.83,6,0,0,0,0.927554774,4.142011834,4,45.1,40.3,0.966552058,145.88309,900,30,0,0.1,0.75,6.8,2.26237
0,0,0,0,0,0,0,0.73113,0,26.35439324,9.747584602,2.6,309,900,3.417064776,0,0.5,0.589,7.5,3.42917
7.83,1.83,6,1,0,0,0.11,8.01,4,68.15028581,11.16044176,1.04,347.2,950,4.269489743,0,0.5,1,7.2,0.37401
7.61,1.91,8,0,1,0,5.744624203,5.349955365,4,56.65582,33.72075,1.169174915,695.8306577,600,2,0,0.5,0.618533518,7.2,2.685216
7.61,1.91,8,0,0,0,0.24,1.3,3.5,43.07692308,21.53846154,1.85339958,1564,850,10,1,0.5,2,7.2,5.34198
7.61,1.91,8,1,0,0,28,14.5,1.95,55.50787935,44.49212065,1.023623406,168.9,550,5,0,0.5,1,7.2,6.67945
0,0,0,0,0,0,0,2.26784,0,31.19572751,53.79754576,2.9,312,500,2.25147049,0,0.5,0.589,7.5,1.46475
7.61,1.91,8,0,0,0,4.43,3.2,3.5,63.22647272,23.95245106,1.380857087,1564,650,10,1,0.1,2,13,61.83343
9.35,1.65,10,0,0,0,0.1,0.56,4,60.71428571,7.142857143,3.11,1402.4,1000,8.94667927,0,0.5,1,7.2,1.620182355
0,0,0,0,1,0,0,1.9,0,42.10499159,8.347522781,0.64,723.2472469,750,7.695328683,0,0.1,0.5,6.8,0.8665
0,0,0,1,0,0,0,2.07,0,25.5336,23.72945,1.16,960.9972491,1000,4.609766868,0,0.5,0.6,7.65,2.835204081
0,0,0,0,1,0,0,2.54,0,62.3,21.6,0.744,535.3213225,700,5,0,0.5,0.3537,7.3,9.83199
7.83,1.83,6,0,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,4.729955544,0,0.1,1,6.8,7.48291
0,0,0,0,1,0,0,2.8,0,31.80551191,25.94593499,0.62,727.1162977,850,8.90381144,0,0.1,0.5,6.8,0.613
7.61,1.91,8,0,0,0,4.43,3.2,3.5,63.22647272,23.95245106,1.686755979,1564,650,10,1,0.5,2,7.2,104.5462
0,0,0,0,1,0,0,3.28,0,15.85365854,21.95121951,1.07,743.45,1000,5,0,0.5,2.5,7.65,2.494312896
0,0,0,0,0,0,0,7.83,0,43.8,20.6,1.25,353.4824857,100,3.077539008,0,0.1,0.685767035,6.8,0.52337
7.61,1.91,8,1,0,0,1.75,4.94,4,46.79,16.83,0.92,451,800,5.333,0,0.5,0.3,7.2,28.98518
7.61,1.91,8,0,0,0,2.08994,19.38522,3.6,63.54886542,27.25652703,1.07,422.6,800,10,0,0.5,0.2,7.2,16.29798
8.95,1.69,10,0,0,0,18.4,14.72554628,4,64,4.8,1.07,303,850,1,0,0.5,1.5,7.2,5.00449
0,0,0,1,0,0,0,1.53,0,41.44736842,39.47368421,0.97,1679.5,1000,2,0,0.5,0.1,7.2,0.06866
7.61,1.91,8,0,1,0,3.727039057,8.184439847,4,47.8,14.82,0.96,333.9,800,2,0,0.5,0.2,7.3,15.742172
0,0,0,1,0,0,0,8.875,0,56.2883398,20.42132514,1.065,650,800,4.383010265,0,0.5,1,7.3,0.01
7.61,1.91,8,0,0,0,3.769866261,9.215065035,4,48.32413249,28.3714511,1.07430794,304,900,3,0,0.5,0.1,7.3,57.83247179
7.83,1.83,6,0,0,1,3.9,7.939083938,4,52.71,16.17,1.08,730.5940198,800,5.013314504,0,0.5,1,7.2,0.3
0,0,0,0,0,1,0,10.8,0,40,0,1.105254093,144,950,3,0,0.1,0.5,6.8,1.81324
7.81,1.88,7,0,0,0,3.7,5.960251017,5,49.8,21.9,0.919753394,454.229189,500,20,0,0.1,0.2,6.8,3.08129
7.83,1.83,6,1,0,0,0.16,10.1,4,63.862496,16.90776129,1.03,678.2,950,4.212221209,0,0.5,1,7.2,3.71912
0,0,0,0,1,0,0,9.33,0,27.1,46.1,0.52,241,800,9.551519057,0,0.1,2,6.8,5.16539
7.61,1.91,8,0,1,0,0.087,2.5,4.2,23.14781992,39.50726693,1.416358668,937.6426607,900,4.129754254,0,0.1,1,6.8,3.62405
7.83,1.83,6,1,0,0,1.5,5.253291839,4,51.17412648,21.53045544,1.01619808,875.3609588,1050,5.171051374,0,1,1,8.8,3.841155784
7.61,1.91,8,0,0,0,2.39,2.82,12,21.91,21.69,1.18,437,700,1,0,0.5,1.3,7.2,1.03464
7.83,1.83,6,0,0,0,0.74,20.4,4.2,50.62483,13.84702,1.28,382,900,2,0,0.1,1,6.8,1.8
0,0,0,0,0,1,0,20.02,0,55,0,1.28,90,800,2.09677988,0,0.1,0.8,6.8,0.70365
7.83,1.83,6,1,0,0,3.721434048,4.886824379,4.4,43.80952381,17.07833765,0.91,1032.99823,900,10,0,0.1,0.4,6.8,8.3204
7.61,1.91,8,0,0,0,5.92,16.88,4.3,19.21556704,23.90290869,1.01,298,900,2.5,0,0.5,0.5,7.3,20.95
0,0,0,0,0,0,0,1.11,0,19.8,1.8,1,925.1,1000,5,0,0.1,1.2,6.8,0.39
7.61,1.91,8,0,1,0,6.107048027,8.641170168,4,44.69627902,30.98060002,1,537.1664723,1000,5,0,0.5,0.8,7.2,11.08301644
0,0,0,0,0,1,0,3.92,0,15.08951407,10.4859335,1.074193466,235.8,900,3.607369831,0,0.5,0.2,7.3,0.19953399
0,0,0,1,0,0,0,2.17,0,30.59639,20.66434,1.237721561,993.7527585,900,4.267036846,0,0.5,0.6,7.65,2.051006307
7.83,1.83,6,0,1,0,2.5,1.63,4.7,67,16,1.002570836,140,900,6.890985324,0,0.1,0.8,6.8,10.61
7.81,1.88,7,0,0,0,0.011,4.709943213,3.6,44.74,34.78,1.024677865,24,500,5,1,0.5,0.7,7.2,1.2432
7.61,1.91,8,0,0,0,6.9,8.424053575,2,47.52570273,39.00275896,2.57,442.8072677,800,2.679615136,0,0.5,0.5,7.2,26.77672
0,0,0,0,0,0,0,2.33,0,25.4,3.39,1.018004948,373,1000,5,0,0.5,0.3,7.2,0.24073
0,0,0,0,0,0,0,2.792052919,0,20.83,11.16,0.920854031,807,1000,7.527151868,0,0.5,0.5,7.2,0.8758
0,0,0,0,0,0,0,4.788117651,0,49.52380952,8.333333333,0.836,160,800,2,0,0.1,2,6.8,0.796
7.61,1.91,8,0,0,0,3.95,4.8,3.5,63.22647272,23.95245106,1.67643275,1564,650,10,1,0.5,2,7.2,74.17337
7.83,1.83,6,1,0,0,1.5,5.201444974,4,60.53738273,21.3349514,0.895621966,549.5965678,1050,8.494776994,0,0.5,1,7.2,1.30976729
7.61,1.91,8,0,0,0,2.488518807,4.972270336,4,37.56243756,39.56043956,0.91,829,900,5,0,0.1,0.5,6.8,0.89098
0,0,0,0,0,1,0,5.59,0,10.19677996,12.34347048,1.128787673,101.4,600,3.956308143,0,0.5,0.2,7.3,0.327339064
0,0,0,0,0,1,0,1.65,0,18.78787879,15.75757576,1.13,148,1200,5,0,0.1,0.2,6.8,0.07628
0,0,0,0,0,0,0,7.87,0,44.8,19.6,1.26,392.5035888,100,2.966364132,0,0.1,0.705314869,6.8,0.67124
0,0,0,0,1,0,0,2.51,0,53.3,33.4,0.729,534.9574767,700,5,0,0.5,0.3537,7.3,17.62905
7.61,1.91,8,0,0,0,0.15,4.631660988,4,27.28388567,0,0.99,836.0900211,800,4.546046089,0,0.1,0.5,6.8,17.14696
7.83,1.83,6,0,0,0,6,7.2,3,38.66247893,28.45870997,1.137967638,340,900,5.33162371,0,0.1,0.785,6.8,1.706413127
9.35,1.65,10,0,0,0,1.26,0.61,4,68.85245902,14.75409836,2.53,1154,800,9.116822747,0,0.5,1,7.2,0.403589437
7.61,1.91,8,1,0,0,0.93,6.36,2.6,49.52830189,27.98742138,1.048462834,1011,1000,3,0,1,2,8.8,21.72
7.69,1.9,10,0,0,0,1.34,1.1,4,40.8,35.5,1.01,230,1000,5,0,0.1,0.58,6.8,0.621
7.83,1.83,6,0,0,0,0.472466601,3.76344086,3.5,41,45.9,0.943136289,85.99306,900,30,0,0.1,0.75,6.8,1.66098
7.61,1.91,8,1,0,0,5.32,7.8558956,3.83,54.4,16.7,1.020621516,932.8082073,1000,5,1,0.5,3,13.6,417.32312
7.81,1.88,7,0,0,0,2.15,1.03,8,26.11650485,3.203883495,1.07,308.4339694,900,5,0,0.1,0.729393284,6.8,3.368161291
7.61,1.91,8,1,0,0,5.44,10.35,2.4,53.71980676,29.75845411,1.060208987,871,1000,3,0,1,0.088,8.8,22.08
7.61,1.91,8,1,0,0,32,19.92,2,68.16499207,31.83500793,0.9,144.8,550,5,0,0.5,1,7.2,8.24439
7.61,1.91,8,1,0,0,0.917,3.59,3,50.43117011,29.99115044,0.93,322.1,800,5,0,0.5,0.6,7.2,7.33632468
0,0,0,1,0,0,0,1.055,0,29.27740448,21.70107693,0.955,650,1100,4.743688186,0,0.5,1,7.3,0.9377
7.61,1.91,8,1,0,0,15.71282183,11.99692584,4,60.57305984,0,1.017558505,590.0936269,550,5,0,0.5,1,7.2,13.09
7.83,1.83,6,1,0,0,0.888072271,9.324758842,3.9,54.85955922,25.42427045,0.99,614,900,2,0,0.5,4,7.3,2.05
7.61,1.91,8,0,0,1,2.7,8.655745476,4,60,14.3,1.07,639.033058,800,4.940296812,0,0.5,1,7.2,7
0,0,0,0,0,0,0,2.791315906,0,37.56445,22.67203,1.1,826.5565936,1000,5,0,0.5,0.912054741,6.8,1.158
7.83,1.83,6,0,0,0,1.64,4.404474377,4,26.98,18.46,1.034,808.3604164,1000,5,0,0.5,1,7.2,4.45199
9.35,1.65,10,1,0,0,2.77294826,5.070993915,4.1,50.14985015,26.47352647,1.024666886,233,1050,5.662779782,0,0.1,0.8,6.7,0.1035
7.83,1.83,6,1,0,0,0.856793146,10.70991432,4.4,52.17496108,27.93663213,1.01,1050,900,2,0,0.5,4,7.3,3.83
7.83,1.83,6,0,1,0,6.665028564,16.67332146,4,33.9,58.9,1.01,635.15,800,6.011199938,0,0.5,1,7.2,0.2476
7.37,1.96,10,1,0,0,1.8,6.01915629,4.3,26.31,8.65,1.086302326,581.3,950,4.586115784,1,1,1,13.8,39.47214522
7.69,1.9,10,0,0,0,0.27,5.705748408,4,35.23523524,34.63463463,1.0232491,712,975,5.382588801,0,0.1,0.4,7.5,8.40762024
0,0,0,0,1,0,0,24.65026532,0,38.11,52.4,1,475.65,800,5.381331393,0,0.5,1,7.2,0.1
7.25,2.02,10,0,1,0,1.52,5.31897192,3.8,31.58645034,7.446880728,1.05,337.01,900,5,0,0.5,0.4,7.2,10.23263
7.83,1.83,6,0,0,0,2.6,3.825766306,4,25,19,1.08,639,900,3.870799424,0,0.1,0.2,6.8,0.69912
0,0,0,0,0,0,0,5.163621961,0,33.23,32.31,1.03,1000,910,2,0,0.5,1,7.3,4.386126055
0,0,0,0,0,0,0,4.506810252,0,16.5,3.94,1.02,160,1000,1,0,0.5,4,7.3,2.1
7.61,1.91,8,1,0,0,1.01,6.655838658,4,51.015,41.586,0.98,628.3198752,1000,7.008051371,0,0.5,0.5,7.2,5.04607
7.61,1.91,8,0,0,0,2.013,7.33,4,54.27159929,19.15167018,1.106360812,579.8235931,750,4.308834122,0,0.5,1,7.2,10.31055
0,0,0,0,0,0,0,13.86921215,4,38.6,3.1,0.99,438.8,850,1,0,0.5,1.5,7.2,2.114
0,0,0,0,0,1,0,5.67,0,16.04938272,14.99118166,1.099336427,235.8,600,3.620087054,0,0.5,0.2,7.3,4.703060992
7.83,1.83,6,0,0,1,4.7,6.7,4,56,20,1.1,825.7289563,900,4.933231485,0,0.5,1,7.2,3.31421
7.61,1.91,8,1,0,0,1.89,7.034796702,3.7,45.01686879,39.81034011,1.04919271,113,1000,5,0,0.5,0.8,7.2,28.53114
7.83,1.83,6,0,0,0,2.349903163,2.598450613,4,79.03930131,6.113537118,0.931,153,800,2,0,0.1,2,6.8,2.727
7.83,1.83,6,0,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,4.305834803,0,1,1,8.8,11.44008
7.83,1.83,6,1,0,0,1.93,4.88,4,49.59016393,39.75409836,0.99,1235,1000,2,0,0.5,0.1,7.2,0.18592
0,0,0,0,0,0,0,9.046276646,0,44.1,29.9,0.89,899,900,5,0,0.1,1.5,6.8,1.05198
7.81,1.88,7,1,0,0,0.9,7.692344328,3.8,34.57403924,45.43133566,1.04,692,900,3,0,0.1,0.32,6.8,6.45203
7.61,1.91,8,0,0,0,1,1.79,4,7.11087,70.70166,1.269007201,993.5920172,1100,9.500001059,0,0.1,1.414,6.8,0.63385
7.61,1.91,8,0,0,0,10.2,4.006305851,4,38.87367064,43.38543345,0.90784802,238,900,30,0,0.1,0.75,6.8,5.34348
0,0,0,0,0,0,0,0.53623,0,26.99242002,38.06689221,2.4,301,700,4.179670164,0,0.5,0.589,7.5,0.07017
0,0,0,0,0,0,0,5.06,0,25.81568403,57.81339439,0.97,1081.1,1000,6.357546385,0,0.1,0.833,6.8,1
