IP,ENEG,NDE,ZIF,POLY,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,EC,CL,NMT,CPGC,EPH,ovp
0,0,0,0,0,0,1,0,5.59,0,12.00716846,17.20430108,1.118347232,420.7,600,2.731744971,3.984727029,0.5,0.2,177.8,1,7.3,0.39
0,0,0,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,1.11,1223,600,0.5,1,0.1,0.8,177.8,1,6.8,0.39
7.61,1.91,8,1,0,0,0,1.64,29.07,4,46.79,27.52,1.097494257,519.1764894,1000,2,5,0.5,0.749372608,177.8,1,7,0.69
7.83,1.83,6,0,0,0,0,1.782184718,5.814259386,3,38.95363026,25.22727273,0.943377209,435.9137655,800,1,20,0.5,0.2,177.8,1,7.2,0.39
7.69,1.9,10,1,0,0,0,1.43,4.82,4,49.51,17.07,0.94,459,800,2,5.333,0.5,0.3,127,1,7.2,0.49
0,0,0,0,0,0,0,0,3.247183565,0,21.95121951,8.710801394,1.05,75.6,1000,3,5,0.5,0.35,177.8,1,7.3,0.43
7.83,1.83,6,0,0,0,0,2.7,2.7,4,44.4,4.7,1.11747328,561.273538,900,2,5,0.5,1,127,0,7.2,0.33
7.61,1.91,8,1,0,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,1.047210139,741,900,2,5,0.5,1,177.8,1,7.2,0.89
7.61,1.91,8,0,0,0,1,2.7,11,3,55.4,28,0.996860161,383.5084337,700,1,5.431494146,0.5,0.368741556,177.8,0,7.3,0.79
7.61,1.91,8,0,0,0,1,2.7,8.655745476,4,60,14.3,1.07,639.033058,800,2,4.940296812,0.5,1,177.8,1,7.2,0.65
7.61,1.91,8,0,0,1,0,10.48,9.547383551,4,57.4,23.3,0.981498858,422.7526004,650,3,5,0.5,0.5,177.8,1,7.3,0.819
0,0,0,1,0,0,0,0,2.17,0,30.59639,20.66434,1.237721561,993.7527585,900,5,4.267036846,0.5,0.6,177.8,1,7.65,0.44
0,0,0,0,0,1,0,0,8.67,0,9.2,5.9,0.74,418,900,1.060083432,8.830871153,0.1,5,177.8,1,6.8,0.69
0,0,0,0,0,0,1,0,14.1,0,72,0,1.103740847,197,950,1,3,0.1,0.5,127,1,6.8,0.49
7.69,1.9,10,0,0,0,1,5.05,13.84875211,4.1,52.20078666,24.55516014,1.068665599,601.6931657,700,2,5,0.5,1,177.8,1,7.3,0.49
0,0,0,0,0,0,0,0,1.21,0,52.86584218,29.95841682,1.262032628,592.9350006,800,1,10.08905501,0.5,0.2,177.8,0,7.2,0.19
0,0,0,0,0,1,0,0,2.54,0,62.3,21.6,0.744,535.3213225,700,3,5,0.5,0.3537,177.8,0,7.3,0.59
7.83,1.83,6,0,0,0,0,0.931278099,4.046242775,3.8,49.5,36.9,0.948667068,199.25331,900,1,30,0.1,0.75,50,0,6.8,0.41
7.83,1.83,6,1,0,0,0,1.47,10.15,4,70.14778325,15.27093596,0.94,705,900,4,3,0.5,2,127,1,7.2,0.42
7.83,1.83,6,1,0,0,0,1.78,6.91,4,56.43994211,25.03617945,1.05,817.7,900,4,3,1,2,127,1,8.8,0.32
7.83,1.83,6,1,0,0,0,0.27,10.15,4,59.21938089,20.86137281,0.94,705,900,4,3,1,2,127,1,8.8,0.32
7.61,1.91,8,0,0,0,1,1.41,4.683251484,4,20.00724026,0,1.139204125,481.6750753,1000,1,3.786435761,0.5,0.295199083,177.8,0,7.2,0.7
0,0,0,0,0,0,0,0,9.046276646,0,44.1,29.9,0.89,899,900,2,5,0.1,1.5,177.8,0,6.8,0.49
7.61,1.91,8,1,0,0,0,1.89,7.738822745,3.8,48.59098229,30.07246377,1.280831575,1202,1000,2,5,0.5,0.8,177.8,1,7.2,0.59
7.61,1.91,8,1,0,0,0,1.01,6.655838658,4,51.015,41.586,0.98,628.3198752,1000,1,7.008051371,0.5,0.5,177.8,0,7.2,0.59
7.83,1.83,6,1,0,0,0,0.16,10.1,4,63.862496,16.90776129,1.03,678.2,950,2,4.212221209,0.5,1,177.8,1,7.2,0.41
0,0,0,0,0,0,1,0,4.07,0,13.3,71.2,1.06,877.44,1000,6,5,0.1,0.516141278,127,1,6.8,0.59
0,0,0,0,0,0,0,0,9.046276646,0,44.1,29.9,0.89,899,900,2,5,0.1,0.5,177.8,0,6.8,0.49
0,0,0,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,1.11,1223,600,0.5,1,0.1,1.6,177.8,1,6.8,0.59
0,0,0,1,0,0,0,0,17.71996427,0,46.09695171,31.09109023,1.17,732,900,3,5,0.1,0.4,177.8,1,6.8,0.47
7.61,1.91,8,1,0,0,0,5.03,10.75,2.7,63.34883721,21.30232558,0.998882312,775,900,4,3,1,2,127,1,8.8,0.62
7.61,1.91,8,0,0,0,0,0.37,4.32,4.5,26.7,15.9,1.05,1220,800,5,2,0.5,0.255,177.8,0,7.2,0.89
9.35,1.65,10,0,0,0,0,0.1,0.77,4,71.42857143,18.18181818,3.11,1402.4,1000,1,9.020795147,0.5,1,177.8,1,7.2,0.42
0,0,0,0,0,0,1,0,5.82,0,15.29209622,12.54295533,1.134067678,235.8,600,2.51573251,3.745515042,0.5,0.2,177.8,1,7.3,0.29
7.61,1.91,8,0,1,0,0,1.23,3.23,6,28.82242686,13.22961927,1.02,612,1000,4,3.524884611,0.5,0.081300813,177.8,1,7.3,0.69
0,0,0,0,0,0,0,0,6.5261,0,63.22550988,24.64320191,0.79,522.9401204,800,1,9.495162912,0.1,0.4,177.8,1,6.8,0.47
7.69,1.9,10,1,0,0,0,1.4,6.751228107,4,46.83293657,36.57863706,1.002883203,629.9706847,1050,1,5,0.1,2,177.8,1,7.2,0.69
7.61,1.91,8,0,0,0,1,3.28,7.673110024,4,54.35094773,31.66283745,0.98,261,900,1,3,1,0.1,177.8,1,8.8,0.64
7.61,1.91,8,0,0,0,1,2.62,6.72,4,42.68,35.41,1.492415018,1535,900,2,5,0.5,1.06507923,177.8,1,7.2,0.66
7.83,1.83,6,1,0,0,0,2.8,6.8,3.4,2.702702703,91.89189189,1.530968767,772,900,3,5,0.5,0.3,177.8,1,7.2,0.36
0,0,0,0,0,0,1,0,1.65,0,18.78787879,15.75757576,1.13,148,1200,2,5,0.1,0.2,177.8,0,6.8,0.49
7.83,1.83,6,1,0,0,0,2.1,4.453251285,4,44.41299366,0,1.269969796,1361.252988,1000,3,5,1,1,177.8,1,8.8,0.34
0,0,0,0,0,0,0,0,0.73113,0,26.35439324,9.747584602,2.6,309,900,3,3.417064776,0.5,0.589,177.8,0,7.5,0.89
7.83,1.83,6,1,0,0,0,3.4,5.270791155,4,64.9751733,16.84130836,0.907638376,623.4831989,1050,1,8.02780492,0.5,1,177.8,1,7.2,0.39
0,0,0,1,0,0,0,0,1.2,0,19.16666667,6.666666667,0.832,1188,1100,2,5,0.1,0.5,177.8,0,6.8,0.49
7.61,1.91,8,0,0,0,0,0.42,0,4,0,0,1.166624597,503.7426817,800,1,8.980060736,0.5,0.2,177.8,0,7.2,0.59
7.83,1.83,6,0,1,0,0,1.54072305,3.683715873,8,35,6,1.15,692.6,950,0.333,10,0.5,1,127,0,7.2,0.42
7.61,1.91,8,0,0,0,0,2.61,3.06,4,44.2,30.3,0.96,545,900,2,5,0.1,0.48,177.8,1,6.8,0.79
7.83,1.83,6,1,0,0,0,1.5,5.201444974,4,60.53738273,21.3349514,0.895621966,549.5965678,1050,1,8.494776994,0.5,1,177.8,1,7.2,0.39
0,0,0,0,0,1,0,0,9.33,0,27.1,46.1,0.52,241,800,1,9.551519057,0.1,2,177.8,1,6.8,0.49
7.69,1.9,10,0,0,0,0,2.1,3.79,4,43.4,25.8,1.028404816,326.1994934,900,0.0125,5.900555195,0.1,0.3,177.8,0,6.8,0.79
7.61,1.91,8,0,1,0,0,5,4.791752391,4,44.54040716,0,1.295156703,821.3577926,750,2,3,0.5,0.2,177.8,0,7.2,0.64
7.61,1.91,8,0,0,0,0,0.24,1.3,3.5,43.07692308,21.53846154,1.85339958,1564,850,2,10,0.5,2,177.8,1,7.2,0.78
7.69,1.9,10,1,0,0,0,2.44,19.50980251,3,80.88,10.72,1.42,802.7,800,3,5,0.1,1.5,127,1,6.8,0.59
7.83,1.83,6,0,0,0,1,1.8,4.191095283,5.1,61.03896104,29.09090909,0.95,1358.5,400,2,3,0.1,1,177.8,1,7,0.76
7.83,1.83,6,0,0,1,0,16.37848842,12.41013219,12,54.82,43.18,1.34,22.5,650,2,3,0.5,0.3,177.8,0,7.3,0.63
0,0,0,0,1,0,0,0,2.56,0,34.765625,14.453125,1.008,832,900,2,5,0.1,0.5,177.8,1,6.8,0.59
7.83,1.83,6,0,0,1,0,2.981510761,4.64,4,48.81209503,20.95032397,1.45,867.3964733,850,3,2,0.1,0.3,127,1,6.8,0.49
0,0,0,0,1,0,0,0,3.35,0,18.50746269,4.47761194,0.969,1013,1000,2,5,0.1,0.5,177.8,1,6.8,0.59
7.61,1.91,8,0,0,0,0,0.14,6.47,4,39.5,7.2,1.05,445,800,5,2,0.5,0.255,177.8,0,7.2,0.79
7.83,1.83,6,0,0,1,0,2.68,9.162448165,5,39.65578424,11.62171753,1.2,687.2452256,700,4,5,0.5,1,177.8,1,7.2,0.49
7.61,1.91,8,0,0,0,0,1.3,2.074474243,4,44.655,23.042,0.920675785,294.3710129,800,1,10.36489402,0.5,0.2,177.8,0,7.2,0.59
7.61,1.91,8,0,1,0,0,5,5.143888143,4,44.54040716,0,1.230259538,728.7335531,750,2,3,1,0.2,177.8,0,8.8,0.67
7.83,1.83,6,1,0,0,0,0.2,2.9,4,44.40184049,18.70398773,1.024,360.1,1000,3,3.538486409,1,1,177.8,1,8.8,0.57
7.61,1.91,8,0,0,0,0,4.43,3.2,3.5,63.22647272,23.95245106,1.380857087,1564,650,2,10,0.1,2,177.8,1,13,0.48
7.61,1.91,8,0,0,0,0,2.4,6.691455747,4,48.1,15.2,1.01,210,800,2,5.977766973,0.5,0.25,177.8,0,7.4,0.69
7.83,1.83,6,0,0,0,0,2.349903163,2.598450613,4,79.03930131,6.113537118,0.931,153,800,2,2,0.1,2,177.8,1,6.8,0.55
7.61,1.91,8,0,0,0,0,1.31087,11.93215,3.8,58.91462145,24.01089983,0.97,582.6,900,2,10,0.5,0.2,127,1,7.2,0.69
7.61,1.91,8,0,0,0,0,2.013,7.33,4,54.27159929,19.15167018,1.106360812,579.8235931,750,3,4.308834122,0.5,1,177.8,1,7.2,0.62
7.61,1.91,8,0,1,0,0,0.5,2.82,3,18.70089052,53.61445783,1.115415125,458,1000,2,5,0.5,1,177.8,1,7.2,0.69
7.61,1.91,8,1,0,0,0,2.2,5.640727266,4,46.13248967,0,1.287948798,1135.309748,1000,3,5,1,1,177.8,1,8.8,0.34
7.61,1.91,8,0,0,1,0,1.98,3.263535795,4,30.29908973,10.64319296,2.41,1066,900,2,5,0.5,0.4,177.8,1,7.3,0.69
7.61,1.91,8,0,0,0,0,0.44,6.28,4,32.9,8.9,1.05,924,800,5,2,0.5,0.255,177.8,0,7.2,0.69
7.61,1.91,8,0,0,0,0,5.0164692,3.699912124,4,41.26935925,23.53477073,1.052093871,250,900,2,3,0.5,0.1,177.8,0,7.3,0.62
7.83,1.83,6,1,0,0,0,1.39,3.98,4,53.26633166,22.36180905,1,1181,900,2,3,1,2,127,1,8.8,0.32
0,0,0,1,0,0,0,0,4.3,0,27.18894009,12.67281106,1.227,686,900,2,5,0.1,0.5,177.8,0,6.8,0.59
7.83,1.83,6,0,0,0,0,0.4,3.770429861,4,24.1,16.53,1.033348485,742,1000,1,5.779426014,0.5,0.5,177.8,0,7.2,0.36
7.83,1.83,6,0,0,1,0,2.5,1.63,4.7,67,16,1.002570836,140,900,1,6.890985324,0.1,0.8,127,1,6.8,0.65
7.83,1.83,6,0,0,0,0,1.45,6.916123425,4,41.39,15.22,1.039780453,324.8,900,1,6.499653248,0.5,1,127,0,7.2,0.38
7.83,1.83,6,0,1,0,0,1.73,8.2,4,34.6,44.6,1.75,724,900,2,2,0.1,0.76,177.8,0,6.8,0.442
7.61,1.91,8,0,0,0,1,4.8,7.9,4,54,20,1.12,709.5907472,900,2.132033779,4.94539236,0.5,1,127,1,7.2,0.59
0,0,0,0,0,0,1,0,10.2,0,54,20,1.1,655.2118618,900,2.352546641,4.372925398,0.5,1,127,1,7.2,0.69
7.83,1.83,6,1,0,0,0,0.812143479,7.444648555,5,47.2,31.5,1.066881382,333,1050,1,7.225346739,0.1,0.8,177.8,0,6.7,0.39
7.83,1.83,6,0,0,0,0,1.64,4.404474377,4,26.98,18.46,1.034,808.3604164,1000,2,5,0.5,1,177.8,1,7.2,0.49
7.83,1.83,6,0,0,0,1,0.85,4.880280135,4,62.40485252,31.76736441,0.955374521,819,800,1,10,0.5,1,177.8,1,7.2,0.49
0,0,0,1,0,0,0,0,9.448780248,0,43.00237208,40.32531345,1.03086179,723,900,2,5,0.5,1,177.8,1,7.2,0.69
7.61,1.91,8,0,0,1,0,2.14,4.054771776,4,56.95692026,13.73052246,0.91,113.21,1000,2,10,0.5,0.610493815,127,1,7.2,0.79
0,0,0,0,0,0,0,0,2.792052919,0,20.83,11.16,0.920854031,807,1000,1,7.527151868,0.5,0.5,177.8,0,7.2,0.49
0,0,0,1,0,0,0,0,12.42350061,0,53.44827586,51.51515152,1.12,740,700,4,2,0.1,4,177.8,1,7.2,0.82
7.61,1.91,8,0,1,0,0,1,1.35,4,49.05959665,20.31497847,0.994205988,552.5830878,950,2,5,0.1,1,177.8,1,6.8,0.79
7.61,1.91,8,1,0,0,0,11.19895523,9.623378082,4,51.21343545,0,1.040652481,592.6475487,600,2,5,0.5,1,127,1,7.2,0.67
7.61,1.91,8,0,1,0,0,1.392,2.8,2.2,16.37870651,26.02148027,1.045503428,242,900,3,4.241535237,0.1,0.676186133,177.8,1,6.8,0.69
7.61,1.91,8,0,0,0,0,9.25,3.407424121,12,44.69661881,14.590088,1.404130333,769.2539398,1000,2,5,0.5,0.8,177.8,1,7.2,0.89
9.35,1.65,10,1,0,0,0,2.77294826,5.070993915,4.1,50.14985015,26.47352647,1.024666886,233,1050,1,5.662779782,0.1,0.8,177.8,0,6.7,0.49
7.61,1.91,8,0,1,0,0,3.01,2.58,4,31.78294574,10.07751938,0.992,628,800,2.5,5,0.1,1,177.8,1,6.8,0.89
0,0,0,0,0,0,0,0,6.13,0,27.5,9.8,1.13,215,1000,1,5,0.5,0.3,177.8,0,7.2,0.65
7.81,1.88,7,0,0,0,0,3.82,8.900250026,5,40.73171633,18.40244602,1.155020745,529.4640969,400,2,2,0.2,0.3,177.8,1,7,0.59
7.83,1.83,6,0,0,0,0,1.64,7.10487763,4,35.7,55.9,1.371312703,910.2742293,750,4,5,0.5,1,177.8,1,7.2,0.59
7.83,1.83,6,1,0,0,0,0.64,7.03,4,61.3086771,20.76813656,0.97,746,900,2,3,1,2,127,1,8.8,0.32
7.83,1.83,6,0,0,0,1,0.15,3.26602758,5,10.92436975,17.64705882,1.26,1173,1000,2,5,0.1,1,177.8,1,6.8,0.46
0,0,0,1,0,0,0,0,1.53,0,41.44736842,39.47368421,0.97,1679.5,1000,1,2,0.5,0.1,127,1,7.2,0.39
7.61,1.91,8,0,0,0,0,0.52,6.575740364,3.9,40.25185773,16.42180498,1.27,477.7384348,800,1,2.3,0.5,0.626819737,177.8,1,7.2,0.59
9.35,1.65,10,1,0,0,0,0.1,5.56,4,47.0357717,22.82958199,1.073079504,637.2,950,2,5,0.1,0.6,177.8,0,6.8,0.75
7.61,1.91,8,0,0,0,0,0.953383072,2.453946912,4,45.10628709,20.98700518,0.900747346,237.9225274,800,1,10.34424256,0.5,0.2,177.8,0,7.2,0.56
7.83,1.83,6,0,0,0,1,3.9,7.939083938,4,52.71,16.17,1.08,730.5940198,800,2,5.013314504,0.5,1,177.8,1,7.2,0.35
7.81,1.88,7,0,0,0,1,1.2,6.572115238,4,35.546875,13.21022727,1.162309929,538.8921143,900,2,3,0.5,0.2,177.8,1,7.2,0.59
0,0,0,0,0,0,0,0,2.36,0,16.1,5.1,1,1043.3,1000,2,5,0.1,1.2,177.8,1,6.8,0.49
0,0,0,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,1.11,1223,600,0.5,1,0.1,2,177.8,1,6.8,0.59
7.61,1.91,8,0,0,0,0,2.013,7.33,4,36.63105128,21.98734454,1.115529381,429.0655657,750,3,4.576169511,0.5,0.2,177.8,0,7.2,0.55
7.69,1.9,10,1,0,0,0,1.02,7.888918341,3.9,55.34003831,0,1.09,887.8015291,900,3,5,0.1,1,177.8,1,6.8,0.79
7.83,1.83,6,1,0,0,0,0.59,4.05,3,43.7037037,17.77777778,1.108008553,1243,1000,2,5.488241642,0.5,1,177.8,1,7.2,0.39
7.61,1.91,8,0,1,0,0,0.472082045,1.139508384,2.4,37.05744431,34.75967175,1.080572645,133,1200,3,4.205737598,0.1,0.719709098,177.8,1,6.8,0.79
7.81,1.88,7,0,0,0,0,2.15,1.03,8,26.11650485,3.203883495,1.07,308.4339694,900,2.5,5,0.1,0.729393284,177.8,1,6.8,0.69
7.81,1.88,7,0,0,0,0,0.251,2.29,4,54.14847162,27.94759825,1,1575,1000,1,5,0.1,1,25,1,8,0.47
7.61,1.91,8,1,0,0,0,28,14.5,1.95,55.50787935,44.49212065,1.023623406,168.9,550,2,5,0.5,1,127,1,7.2,0.69
0,0,0,1,0,0,0,0,2.03,0,16.55,35.44,1.188026372,779.3888711,1000,7,4.458864972,0.5,0.6,177.8,1,7.65,0.44
7.37,1.96,10,1,0,0,0,1.8,5.337353956,4.3,26.31,8.65,1.05079626,581.3,950,2,4.93563137,0.1,1,177.8,1,6.8,0.64
7.61,1.91,8,0,0,0,1,1.57,7.578526301,3.7,78.1,16.9,1.09,502.4206011,800,2,10,0.5,1,177.8,1,7.2,0.49
7.61,1.91,8,0,0,0,0,3.95,4.8,3.5,63.22647272,23.95245106,1.67643275,1564,650,2,10,0.5,2,177.8,1,7.2,0.7
8.3,2.2,10,0,0,0,1,2.95,6.736730952,3.5,42.12796898,9.335918565,1.118881966,414.8779231,900,2,3,0.5,0.2,177.8,1,7.2,0.39
7.61,1.91,8,0,0,0,0,0.244,2.27,3.9,61.23348018,26.43171806,1,1515,1000,1,5,0.1,1,25,1,8,0.64
7.61,1.91,8,1,0,0,0,5.51,7.817211967,3.79,52.2,21.2,1.027354606,882.3579746,1000,3,5,0.5,3,177.8,1,7.33,0.69
0,0,0,0,0,0,0,0,13.86921215,4,38.6,3.1,0.99,438.8,850,2,1,0.5,1.5,177.8,1,7.2,0.49
7.83,1.83,6,1,0,0,0,0.351,2.86,4,38.28954017,0,1.246563325,1102.2,1000,3,5,0.5,0.4,177.8,1,7.2,0.39
7.81,1.88,7,0,0,0,0,1.883446736,6.604098759,3,45.24570238,25.79440875,0.914402573,415.5792834,800,1,20,0.5,0.2,177.8,1,7.2,0.59
0,0,0,0,0,0,1,0,1.23,0,27.99,51.79,1.359341797,2801,900,2,5,0.5,0.857069373,177.8,1,7.2,0.66
0,0,0,1,0,0,0,0,5.41,0,42.51386322,11.46025878,1.008561022,623.2403505,1000,2,4.914007434,0.5,1,177.8,1,7.2,0.39
7.69,1.9,10,1,0,0,0,1.4,6.394900491,4,46.83293657,36.57863706,0.983265349,653.9103078,1050,1,5,0.1,2,177.8,1,6.8,0.59
7.69,1.9,10,0,0,0,0,1.4,4.776087741,3.7,16.70945418,20.57149235,1.124477534,673,900,1,5,0.1,0.5,177.8,0,6.8,0.49
0,0,0,1,0,0,0,0,2.07,0,25.5336,23.72945,1.16,960.9972491,1000,5,4.609766868,0.5,0.6,177.8,1,7.65,0.44
7.4,1.55,5,0,0,0,0,1.90887931,7.33,4,36.59432841,25.78088087,1.133385547,431.0144192,750,3,4.205587224,0.5,0.2,177.8,0,7.2,0.4
7.61,1.91,8,1,0,0,0,2.07,7.29,2.7,53.6351166,29.76680384,1.109732707,923,1000,4,3,1,0.226,127,1,8.8,0.72
7.61,1.91,8,0,0,0,0,2.5,4.334964214,4,50.66666667,28.59259259,0.87,412.9515937,600,2,10,0.1,0.3,177.8,0,6.8,0.89
7.83,1.83,6,0,0,0,0,1.948629971,2.311165779,4,74.01960784,11.2745098,0.931,160,800,2,2,0.1,2,177.8,1,6.8,0.55
7.83,1.83,6,0,0,1,0,1.663482073,4.540856468,12,46.83,9.04,1.21,545.5,750,2,3,0.5,0.3,177.8,0,7.3,0.63
7.83,1.83,6,0,0,0,1,4.7,6.7,4,56,20,1.1,825.7289563,900,1.967713969,4.933231485,0.5,1,127,1,7.2,0.39
7.61,1.91,8,1,0,0,0,2.14,4.929365706,4.3,35.693,18.241,1.477324878,1174,900,1,5,0.5,0.4,177.8,0,7.2,0.59
7.61,1.91,8,1,0,0,0,0.93,6.36,2.6,49.52830189,27.98742138,1.048462834,1011,1000,4,3,1,2,127,1,8.8,0.62
7.83,1.83,6,1,0,0,0,0.2,2.9,4,44.40184049,18.70398773,1.024,360.1,1000,3,3.714873143,0.1,1,177.8,1,6.8,0.47
7.83,1.83,6,1,0,0,0,0.2,2.9,4,44.40184049,18.70398773,1.024,360.1,1000,3,3.71892041,0.5,1,177.8,1,7.2,0.47
0,0,0,1,0,0,0,0,5,0,0,0,0.96,718.5593788,1000,1,5,0.1,0.8,177.8,1,6.8,0.59
7.83,1.83,6,1,0,0,0,1.47,10.15,4,70.14778325,15.27093596,0.94,705,900,4,3,0.1,2,127,1,6.8,0.56
0,0,0,0,0,0,1,0,5.67,0,16.04938272,14.99118166,1.099336427,235.8,600,2.675128823,3.620087054,0.5,0.2,177.8,1,7.3,0.29
7.69,1.9,10,1,0,0,0,2.26,13.48351981,3.3,62.29,15.31,1.31,1031.3,900,3,5,0.1,1.5,127,1,6.8,0.39
9.35,1.65,10,0,0,0,0,1.26,0.61,4,68.85245902,14.75409836,2.53,1154,800,1,9.116822747,0.5,1,177.8,1,7.2,0.42
6.5,1.22,1,1,0,0,0,0.38,9.169199268,3,43.28159645,5.554323725,1.109810731,925.89,1000,2,10,0.5,0.8,127,1,7.2,0.47156
7.61,1.91,8,0,0,0,0,2.488518807,4.972270336,4,37.56243756,39.56043956,0.91,829,900,2,5,0.1,0.5,177.8,1,6.8,0.59
7.83,1.83,6,0,0,0,0,0.927554774,4.142011834,4,45.1,40.3,0.966552058,145.88309,900,1,30,0.1,0.75,50,0,6.8,0.42
7.83,1.83,6,0,1,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,3,4.596557459,0.5,1,127,1,7.3,0.47
7.83,1.83,6,0,0,0,0,1.55,7.47844202,4,40.97,12.5,1.058035152,344,900,1,6.409257634,0.5,1,127,0,7.2,0.38
7.83,1.83,6,1,0,0,0,0.51,4.09,3,32.18673219,21.86732187,1.129001937,1298,1000,2,5.285144231,0.5,1,177.8,1,7.2,0.39
7.61,1.91,8,1,0,0,0,13.12,15.61466589,12,46.79,27.52,1.067054256,377.842248,1000,2,5,0.5,0.737172073,177.8,1,7,0.69
7.4,1.55,5,0,0,0,0,0.049,4.2,5.1,44.1,33.35,1.201357647,1192,900,1,3,0.5,0.5,177.8,1,7.2,0.49
7.83,1.83,6,0,1,0,0,2.59081336,3.712426963,4,24,14,0.99,103.4,950,0,10,0.1,1,127,0,6.8,0.42
7.83,1.83,6,0,0,0,1,2.14,11.93,4,46.85666387,0,1.159443124,358.3235956,900,1,3,0.1,0.3,127,1,6.8,0.39
7.83,1.83,6,0,0,0,0,1.05,6.525016676,4,37.97622264,37.66549581,1.009072311,634,900,1,30,0.1,0.75,177.8,0,6.8,0.46
0,0,0,0,0,0,0,0,7.554161916,0,44.4,29.8,0.89,655,900,2,5,0.1,1,177.8,0,6.8,0.39
0,0,0,0,0,1,0,0,9.13,0,27.4,45.3,0.48,113,800,1,10.16443995,0.1,2,177.8,1,6.8,0.59
0,0,0,0,0,0,1,0,3.419587854,0,13.21755909,0,1.308655844,622.2848454,1000,1,4.42703435,0.5,0.635646917,177.8,0,7.2,0.4
0,0,0,0,0,0,0,0,7.83,0,43.8,20.6,1.25,353.4824857,100,2,3.077539008,0.1,0.685767035,177.8,1,6.8,0.39
7.61,1.91,8,0,0,1,0,11.06156672,9.706091491,4,53.03882666,24.26289618,0.99,427.3234394,900,2,5,0.5,0.8,177.8,0,7.2,0.59
7.61,1.91,8,0,0,0,0,0.76,5.522640474,4,39.06093906,28.87112887,0.979381729,589,975,0.75,5.960854157,0.1,0.4,177.8,0,7.5,0.64
7.69,1.9,10,0,0,0,0,4.7,6.24011097,4,44.78981241,39.10036971,1.267342709,530.2670537,900,1,3,0.1,0.346793441,177.8,0,6.8,0.78
0,0,0,1,0,0,0,0,1.055,0,29.27740448,21.70107693,0.955,650,1100,3,4.743688186,0.5,1,177.8,1,7.3,0.39
7.81,1.88,7,0,0,0,0,1.46,1.4,4,47.2,35.5,1.04,227,1000,1,5,0.1,0.58,177.8,1,6.8,0.39
7.61,1.91,8,0,0,0,0,1,0.25,4,35.93206,10.67799,1.754061917,947.8462306,850,2,7.011123953,0.1,1.414,177.8,0,6.8,0.69
0,0,0,0,0,0,0,0,8.553881483,0,51.8317692,36.44768856,1.167390528,493.8120933,900,1,3,0.1,0.380964268,177.8,0,6.8,0.48
